id,publisher,source,published,scope_geo,scope_who,scope_period,metric,value,unit,comparable_note,method,url,review_status,last_checked,notes
csbs-2026-businesses-breached,DSIT and Home Office,Cyber Security Breaches Survey 2025/2026,2026-04-30,United Kingdom,Businesses,12 months to late 2025,Businesses identifying a breach or attack,612000,organisations,"Counts ORGANISATIONS affected, not attacks. Not comparable with an incident count.","Representative survey of UK businesses by Ipsos; 43% identified a breach or attack, scaled to the UK business population. Official statistics under the Code of Practice for Statistics.",https://www.gov.uk/government/statistics/cyber-security-breaches-survey-20252026/cyber-security-breaches-survey-20252026,verified,2026-07-27,Headline figure. Down from 50% in the previous edition.
csbs-2026-crimes,DSIT and Home Office,Cyber Security Breaches Survey 2025/2026,2026-04-30,United Kingdom,Businesses,12 months to late 2025,Estimated cyber crimes committed against UK businesses,5190000,events,"The closest published figure to an ATTACK count. One country, one year.",Survey-derived estimate scaled to the UK business population.,https://www.gov.uk/government/statistics/cyber-security-breaches-survey-20252026/cyber-security-breaches-survey-20252026,provisional,2026-07-27,Figure seen in secondary coverage of the release; confirm against the GOV.UK tables before quoting.
csbs-2026-cybercrime-victims,DSIT and Home Office,Cyber Security Breaches Survey 2025/2026,2026-04-30,United Kingdom,Businesses,12 months to late 2025,Businesses that were victims of cyber crime specifically,267000,organisations,A narrower measure than 'breach or attack': excludes attempts repelled without harm.,"Survey-derived, roughly 19% of UK businesses.",https://www.gov.uk/government/statistics/cyber-security-breaches-survey-20252026/cyber-security-breaches-survey-20252026,provisional,2026-07-27,Confirm against the GOV.UK tables before quoting.
csbs-2025-businesses-breached,DSIT and Home Office,Cyber Security Breaches Survey 2024/2025,2025-04-01,United Kingdom,Businesses,12 months to late 2024,Businesses identifying a breach or attack,718000,organisations,Same measure as the 2025/2026 row; shown to give the year-on-year movement.,Representative survey; 50% of businesses identified a breach or attack.,https://www.gov.uk/government/collections/cyber-security-breaches-survey,verified,2026-07-27,Previous edition. The fall to 43% is itself contested as measurement rather than improvement.
csew-2025dec-computer-misuse,Office for National Statistics,Crime in England and Wales: year ending December 2025,2026-04-22,England and Wales,Adults in households,12 months to December 2025,Computer misuse incidents experienced by adults,735000,incidents,"Individuals, not organisations. Cannot be added to business figures.","Crime Survey for England and Wales: face-to-face victimisation survey of adults aged 16+, scaled to the population. The canonical 'dark figure' method.",https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingdecember2025,verified,2026-07-27,No statistically significant change on the previous year.
csew-2025mar-computer-misuse,Office for National Statistics,Crime in England and Wales: year ending March 2025,2025-07-23,England and Wales,Adults in households,12 months to March 2025,Computer misuse incidents experienced by adults,692000,incidents,"Individuals, not organisations.","Crime Survey for England and Wales, scaled to the population.",https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2025,verified,2026-07-27,"A 32% decrease on the previous year, driven by a fall in unauthorised access to personal information."
csew-2017mar-computer-misuse,Office for National Statistics,Crime in England and Wales: year ending March 2017,2017-07-20,England and Wales,Adults in households,12 months to March 2017,Computer misuse incidents experienced by adults,1800000,incidents,Earliest comparable year. Shows the survey measure has FALLEN by 61% while recorded incidents here have risen.,"Crime Survey for England and Wales, first year computer misuse was included.",https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2025,verified,2026-07-27,The divergence between this series and the recorded series is the single most useful thing on this page.
csew-2025mar-fraud,Office for National Statistics,Crime in England and Wales: year ending March 2025,2025-07-23,England and Wales,Adults in households,12 months to March 2025,Fraud incidents experienced by adults,4200000,incidents,"Fraud, much of it cyber-enabled, is counted separately from computer misuse. Not all of this is a cyber attack.","Crime Survey for England and Wales, scaled to the population.",https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2025,verified,2026-07-27,"Highest since fraud was first collected in 2017. Included for scale, with the caveat that definitions differ."
csew-2019mar-computer-misuse,Office for National Statistics,"Crime in England and Wales: appendix tables, year ending March 2024",2024-07-25,England and Wales,Adults in households,12 months to March 2019,Computer misuse incidents experienced by adults,966000,incidents,"Individuals, not organisations. Cannot be added to business figures.","Crime Survey for England and Wales: face-to-face victimisation survey of adults aged 16+, scaled to the population.",https://www.ons.gov.uk/aboutus/transparencyandgovernance/freedomofinformationfoi/cybercrimelevels2019to2024,verified,2026-07-28,"From ONS Appendix table A1, released via FOI."
csew-2020mar-computer-misuse,Office for National Statistics,"Crime in England and Wales: appendix tables, year ending March 2024",2024-07-25,England and Wales,Adults in households,12 months to March 2020,Computer misuse incidents experienced by adults,876000,incidents,"Individuals, not organisations. The last pre-pandemic year.","Crime Survey for England and Wales, scaled to the population.",https://www.ons.gov.uk/aboutus/transparencyandgovernance/freedomofinformationfoi/cybercrimelevels2019to2024,verified,2026-07-28,Pre-COVID baseline used by ONS for later comparisons.
csew-2023mar-computer-misuse,Office for National Statistics,Crime in England and Wales: year ending March 2023,2023-07-20,England and Wales,Adults in households,12 months to March 2023,Computer misuse incidents experienced by adults,745000,incidents,"Individuals, not organisations.","Crime Survey for England and Wales, scaled to the population.",https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2023,verified,2026-07-28,"No significant change against the pre-pandemic year (876,000)."
csew-2024mar-computer-misuse,Office for National Statistics,"Crime in England and Wales: appendix tables, year ending March 2024",2024-07-25,England and Wales,Adults in households,12 months to March 2024,Computer misuse incidents experienced by adults,1022000,incidents,"Individuals, not organisations. Shows the series fluctuates rather than trending cleanly.","Crime Survey for England and Wales, scaled to the population.",https://www.ons.gov.uk/aboutus/transparencyandgovernance/freedomofinformationfoi/cybercrimelevels2019to2024,verified,2026-07-28,A 42% rise in unauthorised access to personal information drove this.
cmc-2025-mands-coop,Cyber Monitoring Centre,Statement on ransomware incidents in the retail sector,2025-06-20,United Kingdom,Two retailers and their suppliers,April to June 2025,"Modelled total financial impact, M&S and Co-op combined event",355000000,GBP (median of £270m-£440m),"A single modelled event cost, not an incident count. Directly comparable with the curated impact figures in this tool.","Independent modelling by the CMC using consumer spend data from Fable Data, covering lost sales for the retailers, franchisees and suppliers, plus response, restoration, legal and notification costs. Categorised as a Category 2 systemic event.",https://cybermonitoringcentre.com/2025/06/20/cyber-monitoring-centre-statement-on-ransomware-incidents-in-the-retail-sector-june-2025/,verified,2026-07-28,"Range £270m-£440m; median £355m. Excludes ransom payments, none indicated. M&S separately guided to about £300m."
