incident_id,dimension,value,unit,source_url,as_of,confidence,note
stuxnet-2010,intensity,7,scale-0-8,https://www.cisa.gov/news-events/ics-advisories,2026-07,coded,figure taken from the incident's cited source
stuxnet-2010,disruption,3,scale-0-4,https://www.cisa.gov/news-events/ics-advisories,2026-07,coded,figure taken from the incident's cited source
stuxnet-2010,novelty,3,scale-0-3,https://www.cisa.gov/news-events/ics-advisories,2026-07,coded,
sony-pictures-breach-2014,disruption,2,scale-0-4,https://www.fbi.gov/news/press-releases/update-on-sony-investigation,2026-07,coded,figure taken from the incident's cited source
sony-pictures-breach-2014,data,2,scale-0-3,https://www.fbi.gov/news/press-releases/update-on-sony-investigation,2026-07,coded,figure taken from the incident's cited source
sony-pictures-breach-2014,novelty,2,scale-0-3,https://www.fbi.gov/news/press-releases/update-on-sony-investigation,2026-07,coded,figure taken from the incident's cited source
sony-pictures-breach-2014,financial,35000000,usd,https://www.fbi.gov/news/press-releases/update-on-sony-investigation,2026-07,reported,
anthem-breach-2015,data,3,scale-0-3,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/anthem/index.html,2026-07,coded,figure taken from the incident's cited source
anthem-breach-2015,people,78800000,count,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/anthem/index.html,2026-07,reported,
opm-breach-2015,data,3,scale-0-3,https://www.gao.gov/products/gao-17-614,2026-07,coded,figure taken from the incident's cited source
opm-breach-2015,novelty,2,scale-0-3,https://www.gao.gov/products/gao-17-614,2026-07,coded,figure taken from the incident's cited source
opm-breach-2015,people,21500000,count,https://www.gao.gov/products/gao-17-614,2026-07,reported,
ukraine-power-grid-2015-2015,intensity,7,scale-0-8,https://www.cisa.gov/news-events/ics-alerts/ir-alert-h-16-056-01,2026-07,coded,figure taken from the incident's cited source
ukraine-power-grid-2015-2015,disruption,1,scale-0-4,https://www.cisa.gov/news-events/ics-alerts/ir-alert-h-16-056-01,2026-07,coded,figure taken from the incident's cited source
ukraine-power-grid-2015-2015,novelty,3,scale-0-3,https://www.cisa.gov/news-events/ics-alerts/ir-alert-h-16-056-01,2026-07,coded,figure taken from the incident's cited source
ukraine-power-grid-2015-2015,people,230000,count,https://www.cisa.gov/news-events/ics-alerts/ir-alert-h-16-056-01,2026-07,reported,
bangladesh-bank-heist-2016,novelty,2,scale-0-3,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,2026-07,coded,figure taken from the incident's cited source
bangladesh-bank-heist-2016,financial,81000000,usd,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,2026-07,reported,
ukraine-grid-industroyer-2016-2016,intensity,7,scale-0-8,https://www.cisa.gov/news-events/alerts/2017/06/12/crashoverride-malware,2026-07,coded,figure taken from the incident's cited source
ukraine-grid-industroyer-2016-2016,disruption,1,scale-0-4,https://www.cisa.gov/news-events/alerts/2017/06/12/crashoverride-malware,2026-07,coded,figure taken from the incident's cited source
ukraine-grid-industroyer-2016-2016,novelty,3,scale-0-3,https://www.cisa.gov/news-events/alerts/2017/06/12/crashoverride-malware,2026-07,coded,
wannacry-2017,intensity,8,scale-0-8,https://www.nao.org.uk/reports/investigation-wannacry-cyber-attack-and-the-nhs/,2026-07,coded,figure taken from the incident's cited source
wannacry-2017,disruption,2,scale-0-4,https://www.nao.org.uk/reports/investigation-wannacry-cyber-attack-and-the-nhs/,2026-07,coded,
wannacry-2017,novelty,3,scale-0-3,https://www.nao.org.uk/reports/investigation-wannacry-cyber-attack-and-the-nhs/,2026-07,coded,figure taken from the incident's cited source
wannacry-2017,financial,4000000000,usd,https://www.nao.org.uk/reports/investigation-wannacry-cyber-attack-and-the-nhs/,2026-07,reported,
wannacry-2017,people,200000,count,https://www.nao.org.uk/reports/investigation-wannacry-cyber-attack-and-the-nhs/,2026-07,reported,figure taken from the incident's cited source
notpetya-2017,intensity,8,scale-0-8,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-099a,2026-07,coded,figure taken from the incident's cited source
notpetya-2017,disruption,3,scale-0-4,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-099a,2026-07,coded,figure taken from the incident's cited source
notpetya-2017,novelty,3,scale-0-3,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-099a,2026-07,coded,figure taken from the incident's cited source
notpetya-2017,financial,10000000000,usd,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-099a,2026-07,reported,
equifax-breach-2017,data,3,scale-0-3,https://www.ftc.gov/enforcement/refunds/equifax-data-breach-settlement,2026-07,coded,figure taken from the incident's cited source
equifax-breach-2017,financial,1400000000,usd,https://www.ftc.gov/enforcement/refunds/equifax-data-breach-settlement,2026-07,reported,
equifax-breach-2017,people,147000000,count,https://www.ftc.gov/enforcement/refunds/equifax-data-breach-settlement,2026-07,reported,
marriott-starwood-breach-2018,data,3,scale-0-3,https://ico.org.uk/action-weve-taken/enforcement/marriott-international-inc/,2026-07,coded,figure taken from the incident's cited source
marriott-starwood-breach-2018,financial,24000000,usd,https://ico.org.uk/action-weve-taken/enforcement/marriott-international-inc/,2026-07,reported,figure taken from the incident's cited source
marriott-starwood-breach-2018,people,339000000,count,https://ico.org.uk/action-weve-taken/enforcement/marriott-international-inc/,2026-07,reported,
