cik,company,filed,item,url,review_status
318154,AMGEN INC  (AMGN)  (CIK 0000318154),2026-07-31,1.05,https://www.sec.gov/Archives/edgar/data/318154/000031815426000119/index.json,
1641601,River Financial Corp  (RVRF)  (CIK 0001641601),2026-07-30,1.05,https://www.sec.gov/Archives/edgar/data/1641601/000119312526325324/index.json,
933036,"UPBOUND GROUP, INC.  (UPBD)  (CIK 0000933036)",2026-07-22,1.05,https://www.sec.gov/Archives/edgar/data/933036/000119312526310605/index.json,
2033770,"CID Holdco, Inc.  (DAIC, DAICW)  (CIK 0002033770)",2026-07-22,1.05,https://www.sec.gov/Archives/edgar/data/2033770/000121390026080208/index.json,
33185,EQUIFAX INC  (EFX)  (CIK 0000033185),2026-07-21,text,https://www.sec.gov/Archives/edgar/data/33185/000003318526000024/index.json,
1641601,River Financial Corp  (RVRF)  (CIK 0001641601),2026-07-17,1.05,https://www.sec.gov/Archives/edgar/data/1641601/000119312526307288/index.json,
1111928,IPG PHOTONICS CORP  (IPGP)  (CIK 0001111928),2026-07-17,text,https://www.sec.gov/Archives/edgar/data/1111928/000111192826000142/index.json,
1641601,River Financial Corp  (RVRF)  (CIK 0001641601),2026-07-10,1.05,https://www.sec.gov/Archives/edgar/data/1641601/000119312526300763/index.json,
1641601,River Financial Corp  (RVRF)  (CIK 0001641601),2026-07-06,1.05,https://www.sec.gov/Archives/edgar/data/1641601/000119312526295704/index.json,
1725255,AdaptHealth Corp.  (AHCO)  (CIK 0001725255),2026-07-02,1.05,https://www.sec.gov/Archives/edgar/data/1725255/000110465926080297/index.json,
1593538,"NAVIENT CORP  (JSM, NAVI)  (CIK 0001593538)",2026-07-02,1.05,https://www.sec.gov/Archives/edgar/data/1593538/000114036126027441/index.json,
1641601,River Financial Corp  (RVRF)  (CIK 0001641601),2026-06-25,1.05,https://www.sec.gov/Archives/edgar/data/1641601/000119312526282946/index.json,
1023731,8X8 INC /DE/  (EGHT)  (CIK 0001023731),2026-06-23,1.05,https://www.sec.gov/Archives/edgar/data/1023731/000102373126000084/index.json,
1388658,"iRhythm Holdings, Inc.  (IRTC)  (CIK 0001388658)",2026-06-15,1.05,https://www.sec.gov/Archives/edgar/data/1388658/000138865826000055/index.json,
1799191,"Oncology Institute, Inc.  (TOI, DFPH, TOIIW)  (CIK 0001799191)",2026-05-22,1.05,https://www.sec.gov/Archives/edgar/data/1799191/000107997326000721/index.json,
105770,WEST PHARMACEUTICAL SERVICES INC  (WST)  (CIK 0000105770),2026-05-20,1.05,https://www.sec.gov/Archives/edgar/data/105770/000010577026000077/index.json,
1605301,"CB Financial Services, Inc.  (CBFV)  (CIK 0001605301)",2026-05-11,1.05,https://www.sec.gov/Archives/edgar/data/1605301/000160530126000021/index.json,
105770,WEST PHARMACEUTICAL SERVICES INC  (WST)  (CIK 0000105770),2026-05-11,1.05,https://www.sec.gov/Archives/edgar/data/105770/000010577026000068/index.json,
773840,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840),2026-04-23,text,https://www.sec.gov/Archives/edgar/data/773840/000077384026000058/index.json,
33185,EQUIFAX INC  (EFX)  (CIK 0000033185),2026-04-21,text,https://www.sec.gov/Archives/edgar/data/33185/000003318526000016/index.json,
310764,STRYKER CORP  (SYK)  (CIK 0000310764),2026-04-09,1.05,https://www.sec.gov/Archives/edgar/data/310764/000119312526149607/index.json,
